"Elster Metering Systems","Printed: Tuesday, January 21, 2020 1:15:58 PM","","","","","","",""
"","Hill Side Apartments","","","","","","",""
"Script Generated by SMARTset Version 1.1.6438.16169","","","","","","","",""
"Reading Created by SMARTset Version 1.1.6438.16169","","","","","","","",""
"Meter Firmware Build: 2-01381-D","","","","","","","",""
"Status: Program Completed Normally.   (000000)","","","","","","","",""
"Meter Constants","","","","","","","",""
"","Meter Constants","","","","","","",""
"","","Current Connection","","","","","",""
"","","","","Primary","Secondary","","Ratio",""
"","","","CT/VT","150","5","=","30.000",""
"","CT/VT Error","","","","","","",""
"","","CT Error %","0.00%","","","","",""
"","","VT Error %","0.00%","","","","",""
"","","","","","","","",""
"Time and Date","","","","","","","",""
"","Daylight Saving Setup","","","","","","",""
"","","Daylight Saving","Enabled","","","","",""
"","","Advance On","Every First Sunday of September at 01:00","","","","",""
"","","Retard On","Every First Sunday of April at 02:00","","","","",""
"","","Adjust By","1 hours","","","","",""
"","Meter Time","","","","","","",""
"","Meter Time:","Tuesday, October 22, 2019 8:39:36 AM","","","","","",""
"","PC (or HHU) clock:","Tuesday, October 22, 2019 8:35:51 AM","","","","","",""
"","Difference:","Meter is 0 days, 0 hours, 3 minutes, 45 seconds ahead","","","","","",""
"","","","","","","","",""
"Current Values","","","","","","","",""
"","Cumulative Registers","","","","","","",""
"","Historical Data Set 2 of 36","","","","","","",""
"","","Cumulative Totals","","","","","",""
"","","","Value","Source","","","",""
"","","","865,291,034.400","Import Wh","","","",""
"","","","0.000","Export Wh","","","",""
"","","","187,009,273.200","Q1 varh","","","",""
"","","","0.000","Q2 varh","","","",""
"","","","0.000","Q3 varh","","","",""
"","","","236.400","Q4 varh","","","",""
"","","","887,663,526.000","Total VAh","","","",""
"","","","187,009,509.600","Customer Defined 1","","","",""
"","","","0.000","Customer Defined 2","","","",""
"","","","0.000","Customer Defined 3","","","",""
"","","Rates","","","","","",""
"","","","Ref","Value","Source","","",""
"","","","Rate 1","234,880,869.600","Import Wh","","",""
"","","","Rate 2","256,375,657.200","Import Wh","","",""
"","","","Rate 3","362,821,945.200","Import Wh","","",""
"","","","Rate 4","854,078,472.000","Import Wh","","",""
"","","","Rate 5","0.000","Export Wh","","",""
"","","","Rate 6","0.000","No source","","",""
"","","","Rate 7","0.000","No source","","",""
"","","","Rate 8","0.000","No source","","",""
"","","","Rate 9","0.000","No source","","",""
"","","","Rate 10","0.000","No source","","",""
"","","","Rate 11","0.000","No source","","",""
"","","","Rate 12","0.000","No source","","",""
"","","","Rate 13","0.000","No source","","",""
"","","","Rate 14","0.000","No source","","",""
"","","","Rate 15","0.000","No source","","",""
"","","","Rate 16","0.000","No source","","",""
"","","","Rate 17","0.000","No source","","",""
"","","","Rate 18","0.000","No source","","",""
"","","","Rate 19","0.000","No source","","",""
"","","","Rate 20","0.000","No source","","",""
"","","","Rate 21","0.000","No source","","",""
"","","","Rate 22","0.000","No source","","",""
"","","","Rate 23","0.000","No source","","",""
"","","","Rate 24","0.000","No source","","",""
"","","","Rate 25","0.000","No source","","",""
"","","","Rate 26","0.000","No source","","",""
"","","","Rate 27","0.000","No source","","",""
"","","","Rate 28","0.000","No source","","",""
"","","","Rate 29","0.000","No source","","",""
"","","","Rate 30","0.000","No source","","",""
"","","","Rate 31","0.000","No source","","",""
"","","","Rate 32","0.000","No source","","",""
"","","Maximum Demands","","","","","",""
"","","","Ref","Value","Source","Date and Time","",""
"","","","MD 1a","35,817.600","Total VA","Thursday, August 15, 2019 9:30:00 AM","",""
"","","","MD 1b","36,852.000","Total VA","Friday, August 23, 2019 8:00:00 AM","",""
"","","","MD 1c","35,140.800","Total VA","Thursday, August 15, 2019 8:00:00 AM","",""
"","","","","","","","",""
"","","","MD 2a","0.000","No source","Not available","",""
"","","","MD 2b","0.000","No source","Not available","",""
"","","","MD 2c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 3a","0.000","No source","Not available","",""
"","","","MD 3b","0.000","No source","Not available","",""
"","","","MD 3c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 4a","0.000","No source","Not available","",""
"","","","MD 4b","0.000","No source","Not available","",""
"","","","MD 4c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 5a","0.000","No source","Not available","",""
"","","","MD 5b","0.000","No source","Not available","",""
"","","","MD 5c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 6a","0.000","No source","Not available","",""
"","","","MD 6b","0.000","No source","Not available","",""
"","","","MD 6c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 7a","0.000","No source","Not available","",""
"","","","MD 7b","0.000","No source","Not available","",""
"","","","MD 7c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 8a","0.000","No source","Not available","",""
"","","","MD 8b","0.000","No source","Not available","",""
"","","","MD 8c","0.000","No source","Not available","",""
"","","Cumulative Maximum Demands","","","","","",""
"","","","Ref","Value","Source","","",""
"","","","CMD 1","2,512,594.080","Total VA","","",""
"","","","CMD 2","0.000","No source","","",""
"","","","CMD 3","0.000","No source","","",""
"","","","CMD 4","0.000","No source","","",""
"","","","CMD 5","0.000","No source","","",""
"","","","CMD 6","0.000","No source","","",""
"","","","CMD 7","0.000","No source","","",""
"","","","CMD 8","0.000","No source","","",""
